gene,avg_log2FC,pct_on,pct_pre,p_val,p_val_adj,neglog10pAdj,rank_score,group
CD274,0.053,0.034,0.014,2.28025508193664e-08,0.00083459616253963,3.079,0.163,degs_epi_R_OnvsPre_Seurat
CD47,0.395,0.652,0.548,6.25799656528936e-32,2.29048932286156e-27,26.64,10.523,degs_epi_R_OnvsPre_Seurat
CXCL10,4.604,0.101,0.001,2.07051181751853e-110,7.57828030329959e-106,105.12,483.972,degs_epi_R_OnvsPre_Seurat
CXCL11,2.565,0.136,0.005,2.2546768142545e-138,8.25234260785289e-134,133.083,341.358,degs_epi_R_OnvsPre_Seurat
CXCL9,1.273,0.067,0,4.35620761814934e-74,1.59441555031884e-69,68.797,87.579,degs_epi_R_OnvsPre_Seurat
DUSP6,-1.094,0.226,0.518,4.90566326142683e-151,1.79552181031483e-146,145.746,-159.446,degs_epi_R_OnvsPre_Seurat
ETV4,-0.613,0.11,0.424,6.68719275740986e-164,2.44757942113958e-159,158.611,-97.229,degs_epi_R_OnvsPre_Seurat
ETV5,-0.214,0.03,0.171,2.96776735968215e-66,1.08623253131726e-61,60.964,-13.046,degs_epi_R_OnvsPre_Seurat
HIF1A,-0.107,0.406,0.445,0.00169132599044129,1,0,0,degs_epi_R_OnvsPre_Seurat
IDO1,1.603,0.114,0.003,3.77668357087523e-117,1.38230395377604e-112,111.859,179.31,degs_epi_R_OnvsPre_Seurat
PRDX1,0.095,0.936,0.936,8.7733831376742e-06,0.321114596222013,0.493,0.047,degs_epi_R_OnvsPre_Seurat
PTGS2,0.033,0.039,0.042,0.613746896420117,1,0,0,degs_epi_R_OnvsPre_Seurat
PTPN11,-0.105,0.382,0.449,1.02695971651627e-07,0.00375877525842122,2.425,-0.255,degs_epi_R_OnvsPre_Seurat
SPRY4,-0.303,0.067,0.221,6.28355819176738e-62,2.29984513376878e-57,56.638,-17.161,degs_epi_R_OnvsPre_Seurat
VEGFA,-0.251,0.522,0.544,0.00315524790066458,1,0,0,degs_epi_R_OnvsPre_Seurat
WNT11,0.001,0.084,0.1,0.0269974926134835,1,0,0,degs_epi_R_OnvsPre_Seurat
CD274,0.007,0.02,0.025,0.217192779730283,1,0,0,degs_epi_NR_OnvsPre_Seurat
CD47,0.201,0.567,0.592,0.000366838741300643,1,0,0,degs_epi_NR_OnvsPre_Seurat
CXCL10,0.372,0.028,0.019,0.00961701558012789,1,0,0,degs_epi_NR_OnvsPre_Seurat
CXCL11,0.105,0.033,0.036,0.461282586512558,1,0,0,degs_epi_NR_OnvsPre_Seurat
CXCL9,0.037,0.013,0.013,0.936945970985901,1,0,0,degs_epi_NR_OnvsPre_Seurat
DUSP6,-0.749,0.217,0.54,1.52796718281165e-160,5.59251268580893e-156,155.252,-116.284,degs_epi_NR_OnvsPre_Seurat
ETV4,-0.341,0.238,0.503,1.51429481690413e-93,5.5424704593508e-89,88.256,-30.095,degs_epi_NR_OnvsPre_Seurat
ETV5,-0.279,0.051,0.257,3.25094415387132e-96,1.18987806975844e-91,90.924,-25.368,degs_epi_NR_OnvsPre_Seurat
HIF1A,-0.338,0.376,0.507,1.92807748108406e-25,7.05695638851578e-21,20.151,-6.811,degs_epi_NR_OnvsPre_Seurat
IDO1,0.02,0.011,0.007,0.0670845389868088,1,0,0,degs_epi_NR_OnvsPre_Seurat
PRDX1,-0.453,0.896,0.936,1.04613281497375e-30,3.82895071608543e-26,25.417,-11.514,degs_epi_NR_OnvsPre_Seurat
PTGS2,-0.064,0.055,0.095,2.53453546449891e-09,9.27665325361246e-05,4.033,-0.258,degs_epi_NR_OnvsPre_Seurat
PTPN11,-0.019,0.386,0.501,1.38359981164361e-11,5.06411367059676e-07,6.295,-0.12,degs_epi_NR_OnvsPre_Seurat
SPRY4,-0.213,0.107,0.275,1.75401671098874e-57,6.41987656388989e-53,52.192,-11.117,degs_epi_NR_OnvsPre_Seurat
VEGFA,-1.214,0.429,0.668,2.08272399993563e-94,7.62297811216439e-90,89.118,-108.189,degs_epi_NR_OnvsPre_Seurat
WNT11,-0.136,0.033,0.099,1.28591310931021e-22,4.70657057138632e-18,17.327,-2.356,degs_epi_NR_OnvsPre_Seurat
